Date,pr
22-05-2011,0.884016425
23-05-2011,0.897885697
24-05-2011,0.917299971
25-05-2011,0.891940325
26-05-2011,0.794239008
27-05-2011,0.890093582
28-05-2011,0.88901741
29-05-2011,0.893417532
30-05-2011,0.886492571
31-05-2011,0.861390845
01-06-2011,0.83968883
02-06-2011,0.865551758
03-06-2011,0.850968426
04-06-2011,0.863569291
05-06-2011,0.763140494
06-06-2011,0.689144126
07-06-2011,0.862308837
08-06-2011,0.923717274
09-06-2011,0.81285752
10-06-2011,0.903544495
11-06-2011,0.853467034
12-06-2011,0.859135744
13-06-2011,0.889009971
14-06-2011,0.889530663
15-06-2011,0.861384727
16-06-2011,0.850728444
17-06-2011,0.880340814
18-06-2011,0.879181361
19-06-2011,0.856097353
20-06-2011,0.852953758
21-06-2011,0.898024114
22-06-2011,0.797809254
23-06-2011,0.878937841
24-06-2011,0.864511673
25-06-2011,0.834633911
26-06-2011,0.873840128
27-06-2011,0.841296436
28-06-2011,0.856689346
29-06-2011,0.869771618
30-06-2011,0.86980578
01-07-2011,0.760795275
02-07-2011,0.776170758
03-07-2011,0.852220647
04-07-2011,0.89481582
05-07-2011,0.906941406
06-07-2011,0.798575851
07-07-2011,0.877615374
08-07-2011,0.699969008
09-07-2011,0.891572593
10-07-2011,0.852423929
11-07-2011,0.889107273
12-07-2011,0.833178615
13-07-2011,0.88633925
14-07-2011,0.865248672
15-07-2011,0.858339567
16-07-2011,0.855953018
17-07-2011,0.87541509
18-07-2011,0.900139544
19-07-2011,0.915727073
20-07-2011,0.890532709
21-07-2011,0.890669999
22-07-2011,0.892635025
23-07-2011,0.872552329
24-07-2011,0.853677728
25-07-2011,0.783487592
26-07-2011,0.863565746
27-07-2011,0.864363803
28-07-2011,0.837814359
29-07-2011,0.808088442
30-07-2011,0.806885842
31-07-2011,0.807164438
01-08-2011,0.79129386
02-08-2011,0.806163937
03-08-2011,0.813639179
04-08-2011,0.819807532
05-08-2011,0.869313584
06-08-2011,0.797255096
07-08-2011,0.810947136
08-08-2011,0.825414745
09-08-2011,0.75196167
10-08-2011,0.85981451
11-08-2011,0.854868899
12-08-2011,0.821056796
13-08-2011,0.827649808
14-08-2011,0.837211948
15-08-2011,0.810175158
16-08-2011,0.780791993
17-08-2011,0.776727124
18-08-2011,0.851398012
19-08-2011,0.839939851
20-08-2011,0.849151295
21-08-2011,0.838002839
22-08-2011,0.830168786
23-08-2011,0.818829453
24-08-2011,0.800223555
25-08-2011,0.807993185
26-08-2011,0.81575689
27-08-2011,0.797317791
28-08-2011,0.779333029
29-08-2011,0.774221463
30-08-2011,0.763615375
31-08-2011,0.76325577
01-09-2011,0.777190133
02-09-2011,0.773021488
03-09-2011,0.75940444
04-09-2011,0.782943874
05-09-2011,0.699481549
06-09-2011,0.719750509
07-09-2011,0.7660329
08-09-2011,0.840281569
09-09-2011,0.839175534
